album,zanr
5386,Sea Shanties
5445,Abstract Hip Hop
5445,Boom Bap
5445,Conscious Hip Hop
5445,East Coast Hip Hop
5445,Jazz Rap
5445,Political Hip Hop
5532,Baroque Music
5532,Cinematic Classical
5532,Electronic
5532,Medieval Classical Music
5532,Modern Classical
5532,New Age
5532,Progressive Rock
5532,Ragtime
5532,Sequencer &amp; Tracker
5532,Video Game Music
5543,Art Rock
5543,Glam Rock
5629,Canterbury Scene
5629,Progressive Rock
5629,Symphonic Prog
5634,Canterbury Scene
5634,Progressive Rock
5634,Symphonic Prog
5654,Blues Rock
5657,Blues Rock
5657,Electric Blues
5687,Ambient
5687,Ambient Techno
5687,Downtempo
5687,IDM
5687,Radio Broadcast Recordings
5719,Progressive Rock
5719,Symphonic Prog
5720,Progressive Rock
5720,Symphonic Prog
5721,Progressive Rock
5721,Symphonic Prog
5734,Funk
5734,Psychedelic Soul
5734,Smooth Soul
5734,Soul
5843,Folk Rock
5843,Hard Rock
5843,Progressive Rock
5845,Folk Rock
5845,Progressive Folk
5845,Progressive Rock
5853,Folk Rock
5853,Hard Rock
5853,Progressive Rock
5877,Progressive Rock
5877,Symphonic Prog
5892,Smooth Soul
5892,Soul
5894,Smooth Soul
5917,Progressive Rock
5917,Symphonic Prog
5917,Symphonic Prog
5919,Progressive Rock
5919,Symphonic Prog
5919,Symphonic Prog
5920,Art Rock
5920,Progressive Rock
5920,Rock Opera
5920,Symphonic Prog
5932,Art Pop
5932,Art Rock
5932,New Wave
5932,Post-Punk
5932,Progressive Pop
5942,Blue-Eyed Soul
5942,Folk Rock
5942,Rhythm &amp; Blues
5942,Rhythm &amp; Blues
5942,Singer/Songwriter
5946,Blues Rock
5946,Funk Rock
5946,Hard Rock
5946,Jam Band
5946,Psychedelic Rock
6116,Hard Bop
6130,Thrash Metal
6155,Anarcho-Punk
6155,Hardcore Punk
6156,Experimental
6156,Experimental Rock
6156,Krautrock
6156,Psychedelic Rock
6156,Sound Collage
6210,Drone
6210,Krautrock
6210,Psychedelic Rock
6216,Ambient
6216,Krautrock
6216,Proto-Punk
6295,Contemporary Folk
6295,Country Rock
6295,Folk Rock
6295,Progressive Country
6295,Singer/Songwriter
6296,Acoustic Blues
6296,Contemporary Folk
6296,Singer/Songwriter
6296,Talking Blues
6440,Hard Rock
6543,Art Rock
6543,Free Improvisation
6543,Hard Rock
6543,Jazz-Rock
6543,Progressive Rock
6544,Avant-Prog
6544,Experimental Rock
6544,Progressive Rock
6647,Modal Jazz
6647,Saeta
6647,Third Stream
6702,Americana
6702,Contemporary Folk
6702,Folk Rock
